LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-35,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-34,,0.000000,0.000000,0.000,0.000,Client
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-07-28 23:54:33,1900-01-00 00:00:00,,98:A9:42:45:C3:0F,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
